Id,Nombre,Tipo,precio
70913,Burritos veganos,Entrada,71.4
70896,Croquetas de verduras veganas,Plato principal,30.7
70890,Tempeh rebozado,Entrada,93.4
70862,Setas rebozadas,Entrada,24.6
70813,Empanadillas de pisto,Entrada,100.0
70772,Hojaldre relleno de Champiniones,Entrada,17.1
70669,Pastel de Champiniones al microondas,Plato principal,50.0
70648,Hojaldre relleno de queso de cabra,Entrada,22.6
70585,Gyozas de verduras,Entrada,19.8
70560,Fajitas de verduras y tofu,Cena,19.6
70472,Pata de atun con queso crema,Entrada,92.5
70453,Quiche de bacon y queso de cabra,Plato principal,10.0
70424,Empanadas de jamon y queso,Entrada,22.7
70406,Croquetas de patata y queso,Entrada,68.8
70276,Tacos veganos de coliflor,Entrada,26.7
70248,Empanada de bacalao con masa quebrada,Plato principal,86.4
70222,Hojaldre de esparragos trigueros,Entrada,61.0
70098,Pastel de remolacha salado,Entrada,17.0
70157,Empanada de pollo con masa quebrada,Plato principal,49.4
70092,Fajitas veganas,Plato principal,27.8
70051,Flores de salchichas,Entrada,91.0
70025,Shiro etÃ­ope,?,93.0
70012,Mantequilla con especias,Entrada,51.4
69841,Bolitas de arroz al horno,Entrada,7.4
69659,Crema de guisantes congelados,Entrada,14.6
69399,Hojaldre relleno de pollo al ajillo,Plato principal,10.8
69619,Empanadillas de queso al horno,Entrada,40.3
69609,Quiche de salmon y puerros,Plato principal,71.2
69426,Tarta de humita y espinaca,Entrada,40.4
69358,Quiche de brocoli y bacon,Entrada,61.0
69109,Empanadillas con harina de avena,Entrada,90.8
69015,Samosas de verduras con pasta filo,Entrada,53.6
68734,Rollo de queso crema con tomate y albahaca,Entrada,68.4
68755,Rollitos de verduras con pasta filo,Entrada,5.1
68693,Pastel de espinacas y queso,Entrada,0.5
68702,Crema de calabaza y cacao,Desayuno,73.8
68598,Mantequilla casera con nata,Entrada,85.2
68475,Antipasto de atun venezolano,Entrada,61.5
68335,Crema de cacahuete,Merienda,88.5
32135,Antipasto de atun,Entrada,16.8
67805,Croquetas de pollo y huevo duro,Entrada,90.1
68047,Panqueques  canelones,Entrada,62.6
67993,Empanada de atun,Plato principal,45.2
67966,Crepes salados rellenos de atun,Entrada,94.8
67776,Empanadas venezolanas,Desayuno,51.0
67758,Rollitos de pan de molde con jamon,Cena,15.1
67766,Croquetas de boniato veganas,Entrada,24.3
67735,Champiniones a la crema,Acompanamiento,14.9
67740,Croquetas de ternera guisada,Entrada,9.7
66990,Empanada de carne picada al curry,Entrada,18.7
67505,Rollitos de primavera veganos,Entrada,50.1
67479,Mini quiches de bacon con queso y cebolla,Entrada,80.7
67458,Enchiladas vegetarianas con frijoles y arroz,Plato principal,24.3
67362,Pastel de brocoli y queso al horno,Plato principal,76.7
67272,Quiche de brocoli y atun,Entrada,55.8
67296,Bocadillo serranito,Plato principal,41.6
66999,Wraps de avena,Acompanamiento,79.6
67053,Arepas rellenas de caraotas negras,Plato principal,97.7
66910,Hummus de pimiento asado,Acompanamiento,59.0
66911,Hummus de guisantes y menta,Acompanamiento,15.1
66995,Hojaldre de espinacas y jamon,Cena,97.3
66977,Quesadillas de pavo y queso,Cena,89.6
66992,Quiche de pollo y queso,Entrada,98.7
66955,Quiche de tofu vegano,Entrada,61.5
66939,Sandwich de hummus vegano,Entrada,0.9
66830,Rollitos tailandeses rellenos de verduras,Entrada,13.7
66729,Hojaldre relleno de frankfurt con queso,Entrada,13.9
66710,Bocadillo vegano de tofu con espinacas y Champiniones,Entrada,87.4
65581,Setas salteadas con ajo y jamon serrano,Plato principal,32.1
66067,Bocadillo de jamon serrano y queso con tomate,Cena,90.4
66584,Pinchos morunos veganos de tempeh,Entrada,66.9
66345,Pastel de pan de molde con jamon York y queso al horno,Plato principal,54.0
66353,Pastel de puerros y bacon,Plato principal,7.1
66288,Pinchos de pollo al curry con quinoa,Entrada,25.9
66242,Quiche de puerros y Champiniones,Plato principal,32.2
66208,Croquetas caseras de carne de puchero,Entrada,25.8
66076,Empanada de carne con cebolla,Entrada,65.9
65162,Champiniones con ajo y vino blanco,Acompanamiento,10.6
65261,Hojaldre de espinacas y queso de cabra paso a paso,Entrada,3.4
66049,Patas de atun vegano,Entrada,29.7
65933,Tartaletas de Champiniones y bacon,Entrada,31.7
65495,Hummus de garbanzos tradicional,Entrada,40.1
65640,Croquetas de calabaci­n y zanahoria,Entrada,98.5
65761,Patas de semillas de girasol,Entrada,45.6
65614,Tostadas de aguacate y pavo,Desayuno,8.7
65674,Empanadillas al horno de Champiniones,Entrada,17.4
65494,Guacamole con granada,Acompanamiento,2.4
65509,Pastelitos de hojaldre rellenos de carne molida,Entrada,25.8
65250,Tostas de jamon y queso al horno,Cena,25.9
65338,Hummus en ,Entrada,94.9
65231,Quiche de espinacas y pasas,Plato principal,43.0
65320,Wrap de pavo,Entrada,12.8
65289,Empanada de lomo,Entrada,84.9
65278,Fajitas de carne picada,Plato principal,46.6
65271,Empanadillas de bacalao,Entrada,50.9
64459,Croquetas de lentejas veganas,Entrada,18.2
65146,Curry Garam Masala,Plato principal,79.6
65101,Hojaldre de puerro y gambas,Entrada,3.8
65094,Masa  empanadas veganas,Entrada,27.6
65002,Arepas de maiz al horno,Entrada,15.7
64856,Croquetas de boniato y queso,Entrada,0.0
64722,Empanada de pollo y Champiniones,Entrada,76.5
64783,Bocadillo de tofu,Merienda,53.0
64767,Setas con vieiras,Plato principal,44.2
64750,Patas de castañas,Plato principal,59.0
64701,Empanada de verduras y manzana,Desayuno,18.4
64623,Hojaldre de jamon y queso,Entrada,84.0
64574,Guacamole,Acompanamiento,66.8
64553,Setas al ajillo con gambas,Plato principal,83.4
63794,Quiche de cebollas caramelizadas y nueces,Plato principal,67.9
64482,Wrap de arroz integral con batata,Merienda,33.3
64429,Croquetas de pechuga de pollo caseras,Entrada,89.0
64427,Ceviche de camaron y palta,Entrada,50.0
64398,Fajitas de pollo con chile y cebolla,Plato principal,60.0
64379,Bombas de patata y jamon,Entrada,63.9
64212,Cucuruchos de espinacas,Entrada,76.8
64156,Champiniones en salsa verde,Plato principal,61.0
64116,Tostas de jamon serrano y queso,Entrada,61.7
64112,Empanadillas de atun y pimiento,Entrada,36.4
64052,Pañuelos de hojaldre rellenos,Entrada,13.5
63980,Tortos de maiz,Acompanamiento,88.1
63956,Sandwich mixto gratinado al horno,Entrada,14.3
63912,Blanditas de Veracruz,Entrada,69.7
63891,Tostas de bacon y queso,Entrada,43.8
63845,Hummus de tomate seco,Entrada,4.7
63766,Palomitas al curry,Merienda,52.8
63765,Palomitas de Oreo y chocolate blanco,Merienda,2.4
63640,Brochetas de pollo a la plancha,Plato principal,39.6
63726,Empanadas de carne jamon y queso,Entrant,81.8
63653,Sopes de chorizo mexicanos,Entrada,49.2
63387,   Nochevieja - 6 ideas rÃ¡pidas,?,94.7
63383,Rollitos de salmon con queso y nueces,Entrada,41.5
63393,Croquetas de berenjena y queso parmesano,Entrada,4.7
63376,Totopos con harina de mai­z,Acompanamiento,30.2
62543,Setas salteadas con jamon,Acompanamiento,29.2
63443,Setas salteadas con huevo escalfado,Acompanamiento,31.7
62578,Quiche de espinacas y pavo,Entrada,6.6
63304,Tarta de hojaldre con setas,Entrada,15.6
63251,Tacos de lengua asada,Entrada,100.0
63038,Sandwich de pollo al limon,Entrada,10.2
62169,Palomitas dulces,Merienda,22.9
62724,Empanada de puerro y nata,Entrada,62.9
62954,Sandwich de tempeh,Plato principal,78.2
62897,Rollitos de pepino y salmon ahumado,Entrada,34.1
62575,Quesadillas de pollo y queso al horno,Plato principal,7.7
62831,Champiniones rellenos de verduras y queso cheddar,Cena,64.7
62546,Sandwich de jamon serrano y queso manchego,Cena,95.5
62762,Crepes de setas con ensalada de higos,Plato principal,2.2
62761,Saquitos de morcilla con pera,Entrada,76.3
62168,Palomitas dulces,Merienda,52.7
62549,Canapass de platano macho,?,53.0
62542,Barquitas mexicanas de pollo,Cena,66.7
62572,Palmeritas saladas de hojaldre,Entrada,89.8
62526,Hojaldre de verduras y queso,Entrada,36.7
62513,Rollitos de primavera con obleas de arroz,Entrada,61.5
62491,Tequeños venezolanos,Entrada,21.8
62483,Brochetas de soja texturizada gruesa,Entrada,12.2
61655,Brochetas de tomate cherry queso y albahaca,Entrant,86.1
62428,Pastel de setas y avellanas,Plato principal,83.2
62413,Setas en salsa de nata,Plato principal,22.2
62388,Fajitas de pollo y verduras,Plato principal,86.9
62377,Tacos mexicanos de carne,Entrada,77.4
62361,Pascualina de acelga y ricota,Plato principal,85.6
62360,Ceviche de mero,Plato principal,92.6
62143,Quiche de carne picada y queso,Cena,34.3
62305,Ceviche de gambas,Entrada,3.3
61654,Hojaldritos rellenos salados,Merienda,82.7
62289,Arrollado de jamon y queso,Entrada,37.0
62272,Ceviche de langostinos cocidos,Plato principal,36.4
62104,Nachos caseros,Entrada,29.1
62094,Empanada de pisto con atun y huevo,Plato principal,95.1
62087,Champiniones salteados con amaranto,Plato principal,48.7
62050,Salchichas con berenjenas rebozadas,Entrada,92.4
62005,Bocadillo de tofu y verduras,Plato principal,39.5
61901,Empanadillas de jamon y queso,Desayuno,59.6
61793,Setas al ajillo,Entrada,32.5
61908,Bolitas de maiz con queso,Entrada,98.6
61815,Sandwich de pollo desmenuzado,Plato principal,61.0
61782,Cachapas de maiz dulce con platano,Desayuno,13.1
61757,Buñuelos salados fritos,Entrada,80.0
61726,Canapass de queso de cabra con mermelada de higos,?,54.1
61663,Sandwich de pechuga de pollo con tomate,Plato principal,21.9
61730,Rollitos vietnamitas veganos,Entrada,47.8
61720,Quiche de tomates cherry y queso,Plato principal,64.9
61684,Champiniones rellenos de salmon,Entrada,6.3
61595,Quiche de atun y queso,Plato principal,87.3
61669,Patitas de cangrejo con mayonesa,Entrada,32.8
61665,Empanadillas de atun,Entrada,5.8
61625,Bolas de queso y tomate,Entrada,16.1
61574,Cachapa de dulce de guayaba,Postre,44.9
61550,Dip de frijoles negros,Entrada,54.0
61544,Kebab de salchicha,Plato principal,31.2
61542,Palitos envuelto de jamon y queso,Entrada,16.6
61541,Sandwichon de jamon y queso,Entrada,96.1
61539,Quesadillas de pollo mexicanas,Entrada,65.3
61527,Quiche de brocoli y jamon de pavo,Plato principal,53.1
61535,Quiche de calabacin y jamon York,Entrada,35.7
61486,Fajitas de verduras con arroz,Plato principal,54.2
61483,Quiche vegano de verduras,Plato principal,28.8
61478,Sandwich de queso fundido,Desayuno,0.9
61475,Lumpias filipinas,Entrada,36.7
61433,Sandwich de atun y huevo duro,Plato principal,86.1
61423,Tostadas de queso panela,Entrada,27.5
61416,Bocadillo de lomo adobado con queso,Entrada,19.3
61415,Palomitas de maiz con mantequilla,Acompanamiento,6.5
61359,Kebab de hamburguesa,Plato principal,38.8
61399,Dumplings de pollo y verduras,Entrada,51.3
61395,Enchiladas de pollo con chile poblano,Entrada,96.4
61394,Fajitas de pollo con Champiniones,Plato principal,58.8
61254,Arepas rellenas de carne molida con mayonesa,Plato principal,51.7
61378,Wrap de espelta con pollo,Entrada,51.5
61280,Champiniones en vinagre,Entrada,21.9
61343,Endivias con salmon y queso,Entrada,17.3
61307,Arepa de crema de arroz y auyama,Desayuno,81.7
61306,Arepa de arroz sin harina,Desayuno,54.7
61234,Pira de auyama y platano,Postre,81.8
61314,Sandwich gigante al horno,Plato principal,60.0
61298,Quesadillas de sardina de lata,Entrada,60.8
61301,Quesadillas de huitlacoche y flor de calabaza,Entrada,90.9
61288,Ceviche de soya con atun,Entrada,50.6
60106,Guacamole con salmon ahumado,Entrada,34.9
61259,Gringa al pastor,Plato principal,11.2
61255,Croquetas de papa con carne molida y queso,Entrada,4.3
61186,Tacos de carne asada,Plato principal,5.3
61215,Sandwich de huevo con aguacate,Desayuno,11.3
61214,Quiche de pimientos y cebolla,Cena,26.4
61218,Hojaldres rellenos de cebolla caramelizada,Entrada,43.1
61198,Wraps rellenos de ternera,Plato principal,10.1
61065,Pan con tomate y jamon serrano,Desayuno,5.2
61171,Tacos de tripa de res,Plato principal,81.7
61169,Croquetas de arroz con jamon y queso,Entrada,12.1
61156,Tarta de verduras al horno,Postre,82.7
61140,Pastel salado de pan de molde al horno,Plato principal,0.3
61061,Quiche de calabacin y queso,Entrada,83.4
61116,Empanadillas de morcilla y manzana,Entrada,24.8
61126,Crostinis con verduras y mozzarella,Plato principal,11.9
61104,Empanadas de yuca con pollo,Desayuno,19.9
61111,Tequeños de batata,Entrada,73.7
61108,Empanadas de batata y queso,Desayuno,71.8
61094,Rollitos de jamon serrano rellenos,Entrada,98.1
61025,Empanadas de zanahoria con queso,Entrada,29.0
61038,Arepas de semillas de chia,Desayuno,58.7
61037,Arepas de remolacha,Entrada,5.5
61040,Brochetas de pollo a la barbacoa,Plato principal,71.6
61027,Tequeños de platano con queso,Entrada,5.7
61032,Tosta de lomo y verduras,Entrada,99.9
61003,Empanada de bacalao con pasas,Entrada,87.5
60986,Bocadillo de calamares con alioli de ajo negro,Entrada,55.2
60956,Tacos de pescado estilo Ensenada,Plato principal,46.2
60954,Tacos de suadero,Entrada,12.7
60942,Fajitas de pollo y carne picada,Plato principal,61.0
60939,Setas a la plancha con jamon,Entrada,100.0
60927,Torta ahogada estilo Jalisco,Plato principal,26.8
60886,Entomatadas de pollo al horno,Plato principal,94.2
60910,Torta de chilaquiles,Entrada,13.8
60906,Torrada de escalivada con atun,Entrada,56.2
60862,Sandwich light de pollo,Merienda,0.3
60841,Arepas de batata y avena,Plato principal,30.5
60848,Arepas de platano verde,Plato principal,13.2
60882,Quesadillas de papa con longaniza,Entrada,32.5
60883,Tacos de nopales a la mexicana,Plato principal,38.0
60853,Tamales de barbacoa de pollo,Plato principal,7.5
60835,Arepas de platano maduro sin harina de maiz,Plato principal,67.1
60870,Croquetas de pavo y huevo duro,Entrada,25.6
60842,Arepa de batata sin harina de maiz,Entrada,58.6
60844,Arepas de ocumo chino,Entrada,21.0
60843,Arepas de espinaca y perejil,Entrada,47.1
60840,Arepas de papas y queso,Entrada,48.2
60838,Arepas de calabacin con avena,Entrada,22.3
60836,Arepas de espinaca con avena,Entrada,74.4
60839,Pizza con harina de maiz,Plato principal,55.0
60837,Arepas de calabacin y cilantro,Entrada,93.2
60852,Sopes al estilo Guadalajara,Entrada,89.0
60851,Quesadillas fritas de papa,Entrada,54.9
60785,Arepas de arroz con maicena,Plato principal,86.1
60783,Arepa de auyama sin harina de maiz,Desayuno,90.5
60784,Arepa de auyama y avena,Entrada,26.0
60828,Tacos al pastor veganos,Entrada,41.6
60826,Tarta de cebolla caramelizada y queso brie,Entrada,14.5
60806,Tlacoyo de haba,Entrada,20.4
60805,Tostadas de Champiniones con queso,Entrada,9.2
60799,Enchiladas en salsa de aguacate y chile poblano,Plato principal,61.1
60797,Brochetas de carne de cerdo con piña al horno,Entrada,60.6
60794,Bocadillo vegetariano,Plato principal,35.6
60792,4 quesos,?,6.2
60778,Champiniones al horno con ajo y perejil,Cena,26.8
60766,Burritos de choriqueso,Entrada,25.1
60762,Pastes hawaianos,Entrada,25.3
60750,Tostadas de surimi con camaron,Entrada,78.1
60749,Tacos dorados de papa con salsa de tomate,Entrada,55.7
60747,Empanadas de papa con chorizo,Entrada,78.0
60745,Ceviche de surimi con mango,Entrada,78.3
60737,Sobrasada vegana de almendras,Acompanamiento,66.1
60714,Tarta de brocoli y queso parmesano,Cena,59.5
60730,Espirales de jamon york y queso,Entrada,63.8
60727,Volovanes de setas y queso,Entrada,52.0
60676,Tacos de pollo al curry,Entrada,1.3
60682,Arepas de zanahoria Fitness,Desayuno,21.8
60707,Empanadas de vigilia de verdura,Entrada,52.4
60637,Bocaditos de hojaldre con salchichas,Entrada,63.0
60657,Crepe de patata con jamon York y queso,Entrada,62.5
60677,Tacos de pollo al ajillo,Plato principal,28.5
60694,Pambazos de papa con chorizo,Plato principal,81.6
60696,Empanadillas de atun al horno,Entrada,28.2
60690,Sorullos de maiz,Desayuno,1.3
60687,Hojaldre relleno de carne picada,Entrada,36.5
60116,Guacamole con queso Philadelphia,Entrada,76.8
60633,Empanadillas de espinacas y queso,Entrada,93.1
60661,Empanadas de camaron en salsa verde,Plato principal,21.0
60659,Tacos dorados de surimi,Entrada,30.5
60634,Empanadillas de patata y zanahoria,Entrada,88.4
60647,Quiche de ajos tiernos y Champiniones,Plato principal,76.1
60654,Dumplings de cerdo y camaron,Entrada,33.4
60584,Pincho de jamon con queso de cabra,Entrada,19.0
60586,Champiniones rellenos de jamon y queso crema al horno,Entrada,98.6
60511,Palitos de queso con masa de hojaldre,Entrada,1.5
60526,Waffles de jamon y queso,Entrada,50.0
60529,Brochetas de pollo con verduras al horno,Entrada,35.6
60522,Sandwich de foie gras y crema de hinojo,Entrada,59.0
60465,Enchiladas suizas verdes con chile poblano,Plato principal,78.6
60458,Quesadillas de Champiniones con queso mexicanas,Entrada,2.1
60449,Palitos de cangrejo con mayonesa y huevo,Entrada,94.7
60398,Sandwich de milanesa,Plato principal,49.9
60392,Quiche de espinacas y queso de cabra,Plato principal,48.9
60360,Chalupas poblanas de Analco,Entrada,97.6
60359,Chicharron predo,Entrada,84.6
60354,Huarache de nopal con bistec,Entrada,83.6
60304,Croquetas de jamon queso y huevo,Entrant,43.7
60343,Dip de camarones con mayonesa,Entrada,86.0
60342,Quiche de espinacas y queso mozzarella,Entrada,87.5
60325,Sopes de nopal con Philadelphia,Entrada,39.1
60311,Pastel de platano maduro y queso,Merienda,75.8
60265,Sandwich de pollo jamon y queso,Plato principa,57.5
60256,Bolillo con relleno de puerco,Desayuno,17.8
60251,Guacamole con sandia y queso de cabra,Acompanamiento,30.4
60245,Bollitos de harina pan rellenos,Desayuno,63.4
60227,Sandwich con huevo en medio,Desayuno,92.9
60222,Setas al pestp,Entrada,5.6
60214,Tacos al pastor  vegetarianos,Entrada,66.0
60198,Tarta de cebolla y puerro,Cena,84.5
60035,Tarta de cebolla y queso,Plato principal,2.5
60184,Galletas saladas de Navidad,Entrada,70.9
60117,Sandwich con brotes de alfalfa,Cena,73.4
60167,Espirales de hojaldre de jamon y queso,Entrada,68.5
60166,Pasta brick rellena de marisco,Entrada,45.5
60137,Arbol navideño de queso y frutas,Entrada,4.4
60121,Wraps vegetarianos de setas,Plato principal,79.2
60066,Renos  s ,?,3.9
60089,Empanadas de calabaza y queso,Entrada,9.7
60074,Tlacoyos poblanos,Entrada,41.9
59211,Sandwich de carpaccio,Plato principal,6.1
60059,Sandwich de jamon y queso con mantequilla,Desayuno,98.8
60024,Tacos dorados de frijoles con queso,Entrada,89.7
60022,Tlacoyos de frijol y nopales,Entrada,66.0
60023,Tacos dorados de frijoles refritos,Entrada,76.5
60017,Chicharron con nopales en salsa roja,Plato principal,28.8
60001,Fajitas de pollo y queso,Entrada,31.0
59942,Enchiladas poblanas,Entrada,89.9
59967,Tamales de zarzamora con queso crema,Postre,90.0
59966,Tamales canarios con queso manchego,Entrada,40.1
59950,Mini brochetas fritas,Entrada,36.0
59951,Deditos con hummus,Entrada,33.5
59837,19   vegetarianos  sorprender,?,21.9
59943,Wrap de hummus y aguacate,Cena,10.6
59924,Croquetas de jamon York y huevo cocido,Entrada,96.2
59913,Sandwich gigante de atun,Cena,31.8
59919,Hummus Arabe,Acompanamiento,26.7
59922,Tacos dorados de carne de res,Entrada,0.1
59918,Tacos dorados de papa con pollo,Entrada,96.1
59902,Quiche de verduras sin nata,Entrada,0.9
59896,Pastel de jamon y queso con pan duro,Desayuno,28.9
59764,20   fritos y   Especial Navidad,?,58.3
59884,Brochetas de salmon ahumado,Entrada,1.5
59851,Croquetas de jamon queso y papa,Plato principal,77.7
59844,Sandwich de pavo con manzana,Cena,95.3
59841,Ceviche peruano de corvina,Entrada,13.5
57541,Tacos al vapor de papa,Plato principal,46.0
59815,Empanadas de hojaldre de atun huevo y tomate,Entrante,nan,7.5
59813,Pinga de aceituna y queso,Entrada,16.5
59804,Tostadas de aguacate y tomate,Entrada,17.9
59799,Empanadas de tinga de pollo,Plato principal,8.5
59790,Chimichanga de pollo y queso,Entrada,32.9
59793,fritos de salmon ahumado,Entrada,75.2
59779,Quiche de espinacas bacon y queso,Entrante,nan,1.1
59762,Sandwich de miga con zanahoria,Cena,10.9
59757,Croquetas de jamon con ,Entrada,44.8
59751,Croquetas de jamon y huevo,Entrada,17.9
59726,Brochetas de tomate cherry y queso fresco,Entrada,37.3
59727,Halloween  - 3 recetas  y rÃ¡pidas,?,93.7
59711,Wrap vegetal con verduras asadas,Cena,56.0
59702,Mantequilla de mani sin azucar,Acompanamiento,17.2
59669,Tortitas de patata y brocoli,Entrada,83.5
59695,Chilaquiles en salsa de tres chiles,Plato principal,24.1
59667,Champiniones rellenos con guacamole,Entrada,90.7
59582,Sandwich de carne con queso,Cena,70.9
59585,Arepas de maiz fritas,Desayuno,52.1
59604,Tacos de carne enchilada,Entrada,69.5
59571,Croquetas de atun con papa,Entrada,14.3
59523,Sopecitos mexicanos,Entrada,59.1
59519,Gorditas de migajas,Entrada,1.5
59495,Empanada de flor de calabaza con queso,Entrada,59.9
59521,Dorinachos predos,Entrada,23.0
59479,Trenza de hojaldre rellena de pollo,Entrada,45.4
59457,Tamales de elote y carne,Entrada,90.9
59330,Croquetas de pollo asado,Entrada,80.5
59435,Croquetas de pollo caseras paso a paso,Entrada,7.3
59428,Tamales de chipillon con pollo,Entrada,40.1
59418,Burrito de pollo a la mexicana,Plato principal,49.3
59331,Croquetas de pollo y jamon,Entrada,28.8
59323,Tarta salada de verduras,Cena,49.5
59311,Quiche de calabacin,Plato principal,84.2
59308,Croquetas de bacalao caseras,Entrada,51.7
59304,Taquitos de choriqueso,Entrada,14.9
59213,Sandwiches dulces,Merienda,9.2
59190,Brochetas de pollo marinado con soja,Plato principal,84.1
59237,Hummus sin tahini o tahina,Entrada,12.3
59183,Dorilocos,Entrada,4.6
59174,Pan arabe relleno de pollo,Cena,7.0
59154,Pita de pollo,Plato principal,23.3
59116,Brochetas de res con queso,Plato principal,50.0
59140,Sandwich con salchicha,Cena,98.1
59138,Brochetas de pollo en salsa teriyaki,Cena,42.3
59130,Sandwich de pepino y aguacate,Cena,57.0
59120,Hummus de guisantes,Entrada,33.7
59114,Brochetas vegetarianas con salsa de soja,Entrada,57.1
59113,Brochetas de arrachera y camaran,Entrada,63.2
59105,Nachos con salchichas,Entrada,6.1
59097,Sandwich light de bacalao,Cena,76.4
59086,Fajitas de arrachera con pimientos,Plato principal,92.7
59072,Molletes con Chorizo,Desayuno,86.8
59073,Empanadas de pollo al horno,Entrada,7.7
59071,Empanadas de atun mexicanas,Plato principal,5.9
59054,Pasta de salmon ahumado  untar,Entrada,94.6
59051,Bagel de atun light,Cena,42.6
59035,Tacos de papa con chorizo,Entrada,72.3
59033,Enfrijoladas de pollo,Plato principal,84.9
59034,Panuchos yucatecos,Plato principal,69.6
59027,Crepes salados de salmon,Entrada,67.2
59017,Pollo deshebrado con mole,Plato principal,92.4
59018,Molotes de platano con queso,Entrada,14.6
59024,Sandwich de pavo con atun,Merienda,95.5
58980,Enchiladas verdes de pollo al horno,Plato principal,9.8
58979,Totopos caseros al horno,Entrada,45.2
59002,Sandwich de jamon y queso con huevo,Desayuno,81.0
58987,Tostas de aguacate,Desayuno,3.0
58995,Croquetas de atun y avena,Entrada,21.7
58976,Enchiladas rojas de queso al horno,Plato principal,73.7
58973,Sandwich de aguacate y atun,Cena,23.5
58954,Empanadas argentinas de carne picada,Entrada,17.9
58965,Crema de atun  untar,Entrada,0.6
58951,Tostadas de tinga de pollo,Plato principal,56.5
58960,Nachos gratinados con carne,Entrada,76.8
58949,Flautas de pollo en salsa verde,Plato principal,46.3
58946,Chilaquiles con carne de res,Plato principal,24.0
58934,Baguette de carne de res,Desayuno,41.5
58924,Tacos de alambre de res,Cena,21.6
58913,Emparedado de atun light,Entrada,11.2
58905,Fajitas vegetarianas con queso,Plato principal,42.2
58898,Champiniones rellenos con bechamel al horno,Cena,29.9
58865,Hojaldre relleno de salmon y queso,Entrada,88.5
58866,Tostadas de jamon serrano y hongos,Entrada,47.2
